,Date,Location,MinTemp,MaxTemp,Rainfall,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm,RainToday,RainTomorrow
0,2008-12-01,Wollongong,14.939471074380204,21.468174314955426,0.0,16.0,45.690842245989295,16.0,16.0,16.618351063829788,21.926270342079047,67.66190634340751,65.12857142857143,1007.9,1003.3,18.190202590501453,19.93487213550316,2.0,2.0
1,2008-12-02,Wollongong,14.939471074380204,21.468174314955426,0.0,16.0,45.690842245989295,16.0,16.0,16.618351063829788,21.926270342079047,67.66190634340751,65.12857142857143,1010.9,1006.8,18.190202590501453,19.93487213550316,2.0,2.0
2,2008-12-03,Wollongong,14.939471074380204,27.4,0.0,10.0,70.0,16.0,0.0,16.618351063829788,19.0,67.66190634340751,63.0,1007.8,1005.8,18.190202590501453,23.9,2.0,0.0
3,2008-12-04,Wollongong,15.7,21.5,0.4,4.0,39.0,0.0,1.0,20.0,22.0,67.0,65.0,1020.3,1018.9,18.1,19.5,0.0,0.0
4,2008-12-05,Wollongong,18.0,27.7,0.0,1.0,41.0,5.0,5.0,22.0,19.0,79.0,75.0,1014.3,1009.2,20.1,23.4,0.0,0.0
5,2008-12-06,Wollongong,18.6,32.5,0.2,10.0,44.0,9.0,10.0,6.0,22.0,57.0,81.0,1006.0,1004.4,27.6,21.2,0.0,0.0
6,2008-12-07,Wollongong,17.9,23.6,0.6,10.0,50.0,14.0,10.0,28.0,28.0,67.0,80.0,1007.2,1008.9,21.0,20.4,0.0,1.0
7,2008-12-08,Wollongong,15.3,21.9,11.2,1.0,54.0,8.0,1.0,11.0,37.0,79.0,77.0,1014.8,1011.9,18.7,20.4,1.0,1.0
8,2008-12-09,Wollongong,17.1,23.4,3.0,4.0,57.0,1.0,4.0,15.0,44.0,74.0,78.0,1010.2,1005.8,21.4,22.9,1.0,0.0
9,2008-12-10,Wollongong,17.8,20.2,0.0,11.0,59.0,10.0,10.0,44.0,37.0,77.0,80.0,1008.6,1010.8,20.1,18.5,0.0,1.0
10,2008-12-11,Wollongong,15.6,18.5,15.0,0.0,33.0,0.0,0.0,13.0,20.0,93.0,72.0,1014.9,1015.9,16.5,17.9,1.0,1.0
11,2008-12-12,Wollongong,16.3,22.8,3.4,5.0,67.0,5.0,4.0,28.0,24.0,89.0,94.0,1015.5,1010.0,17.1,17.5,1.0,1.0
12,2008-12-13,Wollongong,16.1,31.6,48.4,7.0,91.0,3.0,13.0,22.0,30.0,84.0,30.0,994.0,990.7,22.5,31.2,1.0,0.0
13,2008-12-14,Wollongong,18.2,25.0,0.0,14.0,85.0,15.0,13.0,30.0,33.0,43.0,33.0,996.1,996.8,20.5,24.6,0.0,0.0
14,2008-12-15,Wollongong,15.4,20.7,0.6,11.0,56.0,11.0,10.0,31.0,28.0,47.0,54.0,1007.0,1007.6,18.9,19.7,0.0,0.0
15,2008-12-16,Wollongong,14.8,23.1,0.0,1.0,39.0,4.0,5.0,9.0,17.0,62.0,67.0,1012.5,1010.1,20.6,22.1,0.0,0.0
16,2008-12-17,Wollongong,16.3,23.1,0.0,8.0,50.0,1.0,9.0,9.0,9.0,74.0,80.0,1011.7,1008.7,20.6,20.9,0.0,0.0
17,2008-12-18,Wollongong,17.3,29.0,0.0,7.0,67.0,0.0,4.0,13.0,9.0,73.0,79.0,1004.5,1000.3,21.4,22.5,0.0,0.0
18,2008-12-19,Wollongong,14.8,23.8,0.8,8.0,56.0,10.0,10.0,9.0,33.0,52.0,61.0,1005.6,1008.2,20.7,18.9,0.0,0.0
19,2008-12-20,Wollongong,14.1,19.0,0.0,10.0,56.0,8.0,10.0,26.0,30.0,58.0,73.0,1019.7,1020.0,17.1,17.1,0.0,0.0
20,2008-12-21,Wollongong,12.8,21.6,0.0,1.0,35.0,2.0,1.0,6.0,22.0,59.0,61.0,1022.1,1020.2,19.0,21.1,0.0,0.0
21,2008-12-22,Wollongong,16.4,22.9,0.0,4.0,63.0,3.0,4.0,31.0,52.0,63.0,67.0,1018.4,1014.2,20.6,21.7,0.0,0.0
22,2008-12-23,Wollongong,18.5,24.4,0.0,10.0,52.0,5.0,2.0,19.0,9.0,74.0,82.0,1008.5,1008.4,21.9,22.4,0.0,1.0
23,2008-12-24,Wollongong,17.8,19.5,1.2,8.0,43.0,10.0,10.0,20.0,11.0,78.0,92.0,1013.8,1013.2,18.9,17.8,1.0,0.0
24,2008-12-25,Wollongong,17.4,22.9,0.2,4.0,24.0,5.0,4.0,13.0,19.0,85.0,68.0,1014.5,1013.6,19.0,22.4,0.0,0.0
25,2008-12-26,Wollongong,18.2,24.7,0.0,4.0,48.0,5.0,4.0,19.0,31.0,80.0,80.0,1013.4,1010.6,21.8,23.6,0.0,0.0
26,2008-12-27,Wollongong,20.3,24.1,0.0,13.0,54.0,4.0,5.0,24.0,24.0,87.0,87.0,1008.2,1004.3,21.9,21.7,0.0,1.0
27,2008-12-28,Wollongong,19.4,24.6,6.0,4.0,48.0,1.0,3.0,13.0,11.0,77.0,77.0,1005.7,1003.1,23.0,23.8,1.0,0.0
28,2008-12-29,Wollongong,19.4,22.2,0.0,9.0,44.0,9.0,9.0,31.0,19.0,76.0,78.0,1004.4,1004.4,20.6,20.7,0.0,1.0
29,2008-12-30,Wollongong,16.4,27.7,2.6,7.0,41.0,3.0,1.0,9.0,28.0,78.0,77.0,1004.1,999.6,19.9,22.4,1.0,0.0
30,2008-12-31,Wollongong,18.4,29.0,0.0,13.0,44.0,12.0,0.0,11.0,17.0,30.0,57.0,1002.4,1002.4,23.8,23.9,0.0,0.0
31,2009-01-01,Wollongong,17.2,32.3,0.0,10.0,70.0,1.0,4.0,9.0,33.0,56.0,51.0,1004.3,1000.3,23.3,25.8,0.0,0.0
32,2009-01-02,Wollongong,17.7,19.9,0.0,9.0,54.0,9.0,9.0,17.0,24.0,67.0,67.0,1013.2,1015.5,19.3,17.4,0.0,0.0
33,2009-01-03,Wollongong,16.5,22.1,0.0,5.0,33.0,0.0,1.0,15.0,17.0,60.0,61.0,1021.9,1019.9,18.0,19.7,0.0,0.0
34,2009-01-04,Wollongong,18.0,23.8,0.0,4.0,63.0,5.0,4.0,28.0,48.0,65.0,72.0,1018.2,1015.0,22.0,22.6,0.0,0.0
35,2009-01-05,Wollongong,18.9,25.4,0.0,5.0,37.0,5.0,4.0,22.0,22.0,76.0,71.0,1012.1,1008.3,21.6,25.0,0.0,0.0
36,2009-01-06,Wollongong,17.5,24.6,0.0,3.0,28.0,5.0,4.0,13.0,17.0,82.0,75.0,1011.2,1008.2,22.0,24.1,0.0,0.0
37,2009-01-07,Wollongong,19.5,32.8,0.0,9.0,52.0,0.0,9.0,13.0,7.0,77.0,85.0,1009.3,1005.5,22.3,22.0,0.0,0.0
38,2009-01-08,Wollongong,18.9,20.1,0.4,11.0,52.0,10.0,10.0,26.0,35.0,86.0,82.0,1013.0,1014.5,19.1,18.4,0.0,0.0
39,2009-01-09,Wollongong,16.0,21.3,0.6,9.0,46.0,10.0,9.0,26.0,17.0,69.0,53.0,1020.9,1019.7,17.4,20.6,0.0,0.0
40,2009-01-10,Wollongong,16.3,23.4,0.6,5.0,43.0,5.0,1.0,7.0,22.0,50.0,54.0,1017.1,1014.6,19.8,22.4,0.0,0.0
41,2009-01-11,Wollongong,16.3,24.2,0.0,5.0,46.0,5.0,4.0,19.0,35.0,67.0,67.0,1013.8,1011.4,21.6,23.3,0.0,0.0
42,2009-01-12,Wollongong,18.8,23.4,1.0,10.0,39.0,9.0,10.0,20.0,26.0,82.0,77.0,1016.2,1017.0,20.7,22.5,0.0,0.0
43,2009-01-13,Wollongong,19.1,24.7,0.2,4.0,57.0,0.0,4.0,11.0,44.0,77.0,73.0,1019.2,1015.5,22.2,23.7,0.0,0.0
44,2009-01-14,Wollongong,19.9,30.8,0.0,4.0,39.0,4.0,3.0,22.0,24.0,79.0,74.0,1013.8,1010.4,22.9,24.5,0.0,0.0
45,2009-01-15,Wollongong,21.1,27.2,0.0,9.0,76.0,1.0,9.0,19.0,35.0,62.0,66.0,1008.1,1006.5,25.8,25.2,0.0,0.0
46,2009-01-16,Wollongong,15.8,24.3,0.0,9.0,52.0,9.0,1.0,13.0,13.0,65.0,62.0,1012.8,1010.1,20.4,24.2,0.0,1.0
47,2009-01-17,Wollongong,15.1,20.3,2.0,10.0,50.0,10.0,10.0,31.0,30.0,58.0,54.0,1020.9,1020.8,17.4,19.3,1.0,0.0
48,2009-01-18,Wollongong,14.0,23.9,0.0,5.0,33.0,9.0,4.0,9.0,22.0,54.0,53.0,1022.0,1020.3,20.1,23.3,0.0,0.0
49,2009-01-19,Wollongong,17.9,24.4,0.0,4.0,57.0,5.0,4.0,19.0,43.0,60.0,67.0,1018.4,1014.2,22.0,22.6,0.0,0.0
50,2009-01-20,Wollongong,18.7,26.6,0.0,9.0,61.0,4.0,3.0,19.0,20.0,74.0,70.0,1013.1,1010.3,22.4,23.3,0.0,0.0
51,2009-01-21,Wollongong,20.7,27.7,0.0,14.0,59.0,2.0,3.0,9.0,22.0,66.0,66.0,1011.3,1007.8,24.2,25.4,0.0,1.0
52,2009-01-22,Wollongong,20.6,32.6,5.2,3.0,63.0,1.0,3.0,20.0,26.0,61.0,41.0,1007.7,1003.4,26.1,31.8,1.0,0.0
53,2009-01-23,Wollongong,21.4,28.2,0.0,4.0,37.0,9.0,9.0,15.0,11.0,81.0,75.0,1009.2,1008.0,22.5,23.1,0.0,1.0
54,2009-01-24,Wollongong,21.5,40.1,1.2,9.0,85.0,4.0,15.0,19.0,31.0,67.0,13.0,1004.1,1003.6,26.7,39.2,1.0,0.0
55,2009-01-25,Wollongong,19.1,24.5,0.0,9.0,39.0,9.0,2.0,17.0,17.0,62.0,56.0,1019.8,1018.8,21.2,23.7,0.0,0.0
56,2009-01-26,Wollongong,19.4,24.8,0.0,9.0,39.0,9.0,9.0,9.0,9.0,74.0,74.0,1019.7,1019.8,21.5,24.1,0.0,1.0
57,2009-01-27,Wollongong,19.3,22.8,5.6,9.0,37.0,12.0,2.0,11.0,7.0,93.0,89.0,1021.6,1020.0,20.7,21.4,1.0,0.0
58,2009-01-28,Wollongong,19.9,24.9,0.0,4.0,50.0,5.0,4.0,19.0,35.0,83.0,76.0,1017.8,1015.6,22.3,24.5,0.0,0.0
59,2009-01-29,Wollongong,19.3,26.0,0.0,4.0,54.0,5.0,4.0,9.0,41.0,81.0,78.0,1018.1,1015.9,22.8,24.6,0.0,0.0
60,2009-01-30,Wollongong,19.8,26.2,0.0,4.0,52.0,4.0,4.0,13.0,26.0,81.0,74.0,1018.5,1015.5,23.1,24.9,0.0,0.0
61,2009-01-31,Wollongong,19.8,25.8,0.0,4.0,44.0,4.0,3.0,13.0,19.0,84.0,73.0,1017.2,1014.4,22.6,24.7,0.0,0.0
62,2009-02-01,Wollongong,19.3,24.6,0.0,9.0,31.0,9.0,9.0,19.0,17.0,89.0,80.0,1017.0,1017.0,21.2,23.8,0.0,0.0
63,2009-02-02,Wollongong,20.7,26.4,0.0,4.0,52.0,5.0,4.0,17.0,39.0,87.0,73.0,1016.3,1011.3,22.8,25.1,0.0,0.0
64,2009-02-03,Wollongong,19.9,24.6,0.0,9.0,48.0,1.0,9.0,11.0,35.0,81.0,80.0,1010.9,1011.0,22.6,22.8,0.0,0.0
65,2009-02-04,Wollongong,21.0,26.3,0.0,10.0,24.0,9.0,5.0,7.0,11.0,85.0,73.0,1011.9,1009.4,22.6,25.5,0.0,0.0
66,2009-02-05,Wollongong,20.3,26.8,0.0,5.0,43.0,5.0,3.0,11.0,24.0,84.0,73.0,1008.9,1005.8,22.9,25.5,0.0,0.0
67,2009-02-06,Wollongong,20.7,27.7,0.0,9.0,31.0,5.0,4.0,9.0,17.0,84.0,73.0,1011.1,1008.3,23.2,26.2,0.0,0.0
68,2009-02-07,Wollongong,21.1,26.5,0.0,4.0,56.0,1.0,3.0,11.0,19.0,81.0,66.0,1013.1,1009.4,23.8,25.9,0.0,0.0
69,2009-02-08,Wollongong,20.0,25.0,0.0,8.0,56.0,4.0,3.0,26.0,17.0,80.0,71.0,1010.5,1007.7,22.1,23.7,0.0,0.0
70,2009-02-09,Wollongong,19.2,20.6,0.0,8.0,48.0,8.0,8.0,26.0,22.0,85.0,84.0,1013.0,1012.0,19.7,19.1,0.0,1.0
71,2009-02-10,Wollongong,16.6,18.8,3.2,8.0,54.0,8.0,8.0,11.0,26.0,85.0,88.0,1012.6,1010.6,18.3,17.8,1.0,1.0
72,2009-02-11,Wollongong,16.8,21.4,1.4,9.0,81.0,11.0,11.0,26.0,31.0,74.0,73.0,1012.0,1012.4,18.1,20.3,1.0,1.0
73,2009-02-12,Wollongong,14.5,21.0,12.6,9.0,52.0,8.0,9.0,26.0,22.0,87.0,69.0,1018.7,1019.8,16.2,19.0,1.0,1.0
74,2009-02-13,Wollongong,15.5,21.3,1.4,2.0,56.0,9.0,9.0,37.0,37.0,62.0,60.0,1026.8,1026.1,19.7,20.2,1.0,0.0
75,2009-02-14,Wollongong,16.7,20.3,0.4,9.0,52.0,9.0,9.0,33.0,35.0,71.0,81.0,1024.2,1020.7,20.1,19.0,0.0,1.0
76,2009-02-15,Wollongong,16.4,21.4,31.6,9.0,61.0,12.0,10.0,20.0,37.0,94.0,84.0,1016.4,1016.0,17.7,20.5,1.0,1.0
77,2009-02-16,Wollongong,17.7,22.1,23.2,9.0,61.0,9.0,10.0,41.0,41.0,70.0,67.0,1019.2,1019.0,21.0,21.6,1.0,1.0
78,2009-02-17,Wollongong,18.0,22.0,7.2,9.0,52.0,13.0,9.0,9.0,24.0,90.0,72.0,1018.4,1016.7,18.3,21.4,1.0,1.0
79,2009-02-18,Wollongong,18.3,24.8,16.8,11.0,63.0,11.0,8.0,35.0,20.0,93.0,68.0,1010.8,1008.6,20.4,23.6,1.0,0.0
80,2009-02-19,Wollongong,18.3,25.6,0.0,8.0,33.0,9.0,1.0,9.0,6.0,76.0,77.0,1007.7,1005.8,22.8,22.8,0.0,1.0
81,2009-02-20,Wollongong,18.5,24.9,5.8,1.0,30.0,5.0,0.0,7.0,13.0,78.0,73.0,1011.0,1011.3,21.8,24.5,1.0,1.0
82,2009-02-21,Wollongong,19.9,22.5,2.8,8.0,37.0,15.0,10.0,9.0,26.0,92.0,81.0,1014.1,1014.7,20.3,21.3,1.0,1.0
83,2009-02-22,Wollongong,17.6,24.4,7.6,5.0,30.0,8.0,2.0,9.0,11.0,82.0,72.0,1019.0,1018.0,20.9,23.8,1.0,0.0
84,2009-02-23,Wollongong,20.4,25.8,0.0,11.0,57.0,5.0,4.0,20.0,37.0,72.0,77.0,1016.6,1012.3,22.7,24.8,0.0,0.0
85,2009-02-24,Wollongong,20.4,25.2,0.4,10.0,39.0,9.0,9.0,19.0,22.0,62.0,76.0,1013.6,1014.5,24.9,23.0,0.0,0.0
86,2009-02-25,Wollongong,19.2,23.8,0.0,9.0,37.0,10.0,9.0,9.0,19.0,82.0,74.0,1016.7,1015.4,20.7,23.3,0.0,0.0
87,2009-02-26,Wollongong,18.3,22.7,0.0,10.0,48.0,11.0,10.0,19.0,39.0,64.0,58.0,1020.8,1019.3,20.7,21.8,0.0,0.0
88,2009-02-27,Wollongong,17.5,23.3,0.0,8.0,30.0,12.0,2.0,11.0,13.0,70.0,57.0,1018.5,1015.9,19.6,22.6,0.0,0.0
89,2009-02-28,Wollongong,17.4,25.1,0.0,5.0,35.0,5.0,4.0,7.0,26.0,66.0,69.0,1009.2,1006.9,21.2,24.3,0.0,0.0
90,2009-03-01,Wollongong,21.0,25.3,0.0,9.0,31.0,0.0,0.0,11.0,13.0,68.0,63.0,1011.2,1011.1,22.6,25.1,0.0,0.0
91,2009-03-02,Wollongong,20.2,25.3,0.0,4.0,30.0,8.0,1.0,7.0,19.0,83.0,70.0,1016.7,1015.7,21.2,23.6,0.0,0.0
92,2009-03-03,Wollongong,20.9,26.0,0.0,4.0,43.0,3.0,4.0,20.0,33.0,73.0,70.0,1018.1,1015.0,23.1,23.9,0.0,0.0
93,2009-03-04,Wollongong,22.8,25.4,0.0,15.0,56.0,14.0,4.0,15.0,0.0,73.0,52.0,1008.3,1008.2,23.8,21.6,0.0,0.0
94,2009-03-05,Wollongong,16.4,23.6,0.0,13.0,50.0,13.0,9.0,22.0,26.0,39.0,54.0,1009.2,1009.0,18.7,20.5,0.0,0.0
95,2009-03-06,Wollongong,13.3,21.8,0.0,4.0,30.0,10.0,1.0,13.0,15.0,66.0,55.0,1013.4,1011.7,18.2,21.3,0.0,1.0
96,2009-03-07,Wollongong,17.0,23.8,1.4,11.0,22.0,11.0,2.0,13.0,13.0,75.0,70.0,1014.5,1012.5,20.1,23.4,1.0,0.0
97,2009-03-08,Wollongong,19.5,21.4,0.0,8.0,41.0,10.0,9.0,30.0,30.0,82.0,75.0,1019.2,1019.9,20.5,20.2,0.0,0.0
98,2009-03-09,Wollongong,17.1,23.8,0.4,10.0,31.0,15.0,0.0,7.0,9.0,86.0,70.0,1022.5,1020.7,18.5,22.5,0.0,0.0
99,2009-03-10,Wollongong,18.5,25.0,0.4,4.0,31.0,5.0,4.0,13.0,22.0,76.0,61.0,1022.2,1021.5,21.7,24.1,0.0,0.0
100,2009-03-11,Wollongong,20.1,24.4,0.0,1.0,33.0,2.0,0.0,15.0,24.0,71.0,69.0,1024.4,1023.3,21.3,22.2,0.0,1.0
101,2009-03-12,Wollongong,18.8,24.4,1.6,4.0,43.0,3.0,4.0,13.0,33.0,77.0,65.0,1022.6,1020.0,21.9,23.8,1.0,0.0
102,2009-03-13,Wollongong,20.5,23.7,0.0,6.0,35.0,3.0,1.0,7.0,7.0,82.0,79.0,1018.5,1016.5,21.7,22.9,0.0,0.0
103,2009-03-14,Wollongong,19.5,24.7,0.8,5.0,44.0,3.0,4.0,15.0,35.0,80.0,80.0,1014.2,1009.1,22.2,24.0,0.0,1.0
104,2009-03-15,Wollongong,19.8,24.5,2.0,13.0,39.0,9.0,10.0,17.0,7.0,59.0,69.0,1010.3,1008.6,22.4,23.8,1.0,0.0
105,2009-03-16,Wollongong,16.1,25.4,0.0,13.0,43.0,15.0,1.0,13.0,13.0,37.0,43.0,1011.3,1008.2,18.8,23.6,0.0,0.0
106,2009-03-17,Wollongong,15.9,22.1,0.0,10.0,31.0,13.0,9.0,11.0,26.0,41.0,62.0,1013.0,1012.9,19.8,21.5,0.0,0.0
107,2009-03-18,Wollongong,15.8,23.7,0.0,4.0,46.0,9.0,4.0,6.0,30.0,64.0,66.0,1018.9,1015.5,19.9,23.4,0.0,0.0
108,2009-03-19,Wollongong,17.8,24.6,0.0,3.0,33.0,4.0,6.0,9.0,11.0,75.0,78.0,1015.7,1013.5,21.4,23.0,0.0,0.0
109,2009-03-20,Wollongong,18.7,24.6,0.0,3.0,19.0,4.0,3.0,0.0,11.0,86.0,79.0,1017.8,1016.9,21.5,23.8,0.0,0.0
110,2009-03-21,Wollongong,17.8,24.9,0.0,6.0,20.0,15.0,5.0,4.0,13.0,90.0,71.0,1019.1,1017.4,20.1,24.2,0.0,0.0
111,2009-03-22,Wollongong,19.7,26.4,0.0,4.0,46.0,3.0,4.0,19.0,26.0,71.0,74.0,1017.3,1014.3,21.9,23.2,0.0,1.0
112,2009-03-23,Wollongong,18.4,24.1,1.6,5.0,57.0,3.0,5.0,9.0,33.0,75.0,77.0,1016.9,1014.8,21.4,22.7,1.0,0.0
113,2009-03-24,Wollongong,18.7,23.5,1.0,4.0,52.0,4.0,5.0,9.0,35.0,82.0,77.0,1017.6,1015.6,21.6,22.6,0.0,0.0
114,2009-03-25,Wollongong,19.3,24.0,0.0,7.0,33.0,3.0,3.0,17.0,15.0,86.0,81.0,1019.2,1017.7,20.0,21.0,0.0,1.0
115,2009-03-26,Wollongong,19.7,23.3,3.2,11.0,50.0,0.0,6.0,13.0,11.0,81.0,78.0,1018.8,1016.2,20.9,22.1,1.0,1.0
116,2009-03-27,Wollongong,17.7,20.2,3.8,8.0,46.0,10.0,8.0,24.0,20.0,83.0,75.0,1024.9,1024.4,18.7,19.1,1.0,0.0
117,2009-03-28,Wollongong,16.3,22.9,0.6,5.0,35.0,10.0,5.0,0.0,19.0,83.0,66.0,1025.6,1022.6,18.2,22.1,0.0,0.0
118,2009-03-29,Wollongong,17.6,24.0,0.0,3.0,33.0,4.0,5.0,11.0,19.0,72.0,72.0,1023.0,1021.2,20.8,22.9,0.0,0.0
119,2009-03-30,Wollongong,17.4,23.2,0.0,9.0,57.0,8.0,8.0,13.0,15.0,84.0,76.0,1024.7,1023.2,20.1,22.6,0.0,1.0
120,2009-03-31,Wollongong,18.7,21.1,5.0,9.0,61.0,0.0,10.0,46.0,33.0,88.0,85.0,1023.5,1022.1,19.7,20.9,1.0,1.0
121,2009-04-01,Wollongong,17.9,22.3,16.4,2.0,56.0,2.0,9.0,35.0,19.0,84.0,84.0,1023.0,1022.7,21.1,21.7,1.0,1.0
122,2009-04-02,Wollongong,19.4,22.3,15.2,1.0,41.0,5.0,9.0,26.0,0.0,95.0,92.0,1024.1,1022.5,19.7,20.1,1.0,1.0
123,2009-04-03,Wollongong,19.0,22.9,10.4,4.0,48.0,1.0,4.0,9.0,28.0,93.0,86.0,1020.9,1016.1,20.7,22.2,1.0,1.0
124,2009-04-04,Wollongong,17.0,19.5,2.6,8.0,67.0,11.0,10.0,26.0,30.0,82.0,67.0,1018.8,1019.7,17.6,18.7,1.0,0.0
125,2009-04-05,Wollongong,16.9,22.2,0.0,5.0,48.0,10.0,4.0,6.0,35.0,68.0,74.0,1019.7,1013.7,19.2,21.0,0.0,0.0
126,2009-04-06,Wollongong,16.3,18.9,0.0,8.0,59.0,8.0,10.0,39.0,26.0,73.0,66.0,1021.4,1020.2,17.4,17.6,0.0,0.0
127,2009-04-07,Wollongong,15.4,19.2,0.0,10.0,39.0,8.0,10.0,26.0,28.0,63.0,61.0,1025.9,1024.9,17.7,18.4,0.0,0.0
128,2009-04-08,Wollongong,14.3,20.3,0.0,9.0,31.0,8.0,9.0,20.0,13.0,65.0,66.0,1027.1,1025.1,18.3,19.9,0.0,0.0
129,2009-04-09,Wollongong,15.1,22.0,0.0,7.0,35.0,9.0,5.0,6.0,15.0,71.0,68.0,1025.3,1022.3,19.3,20.8,0.0,0.0
130,2009-04-10,Wollongong,17.5,23.1,0.0,3.0,37.0,3.0,3.0,6.0,11.0,64.0,78.0,1022.9,1021.1,20.4,20.8,0.0,0.0
131,2009-04-11,Wollongong,16.9,21.8,0.0,3.0,19.0,8.0,5.0,7.0,7.0,81.0,78.0,1025.0,1022.9,19.7,21.2,0.0,1.0
132,2009-04-12,Wollongong,18.4,23.1,1.8,15.0,48.0,8.0,3.0,0.0,7.0,82.0,72.0,1022.7,1020.3,20.5,21.8,1.0,1.0
133,2009-04-13,Wollongong,18.6,20.3,4.2,11.0,30.0,15.0,11.0,13.0,19.0,92.0,86.0,1023.2,1019.8,19.1,20.3,1.0,1.0
134,2009-04-14,Wollongong,16.6,22.9,49.0,7.0,35.0,2.0,1.0,6.0,9.0,84.0,77.0,1014.8,1011.4,20.0,21.7,1.0,0.0
135,2009-04-15,Wollongong,17.5,29.0,0.0,14.0,59.0,14.0,14.0,33.0,26.0,51.0,21.0,1009.8,1005.8,21.7,28.6,0.0,0.0
136,2009-04-16,Wollongong,13.7,22.7,0.0,4.0,43.0,13.0,4.0,7.0,35.0,32.0,55.0,1014.6,1010.9,18.9,22.2,0.0,0.0
