,Date,Location,MinTemp,MaxTemp,Rainfall,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm,RainToday,RainTomorrow
0,2009-01-01,Woomera,16.8,29.7,0.0,8.0,54.0,8.0,8.0,28.0,26.0,56.0,18.0,1010.9,1010.1,18.9,27.5,0.0,0.0
1,2009-01-02,Woomera,13.3,28.6,0.0,9.0,52.0,10.0,10.0,30.0,19.0,46.0,13.0,1016.4,1014.4,16.5,26.3,0.0,0.0
2,2009-01-03,Woomera,14.9,32.0,0.0,9.0,31.0,0.0,2.0,22.0,11.0,14.0,6.0,1015.7,1012.3,22.4,29.9,0.0,0.0
3,2009-01-04,Woomera,16.3,36.3,0.0,0.0,43.0,0.0,2.0,20.0,20.0,12.0,2.0,1012.2,1010.5,25.7,34.9,0.0,0.0
4,2009-01-05,Woomera,20.0,38.4,0.0,14.0,41.0,9.0,7.0,22.0,11.0,29.0,5.0,1012.5,1009.5,25.6,37.1,0.0,0.0
5,2009-01-06,Woomera,20.2,40.2,0.0,10.0,54.0,9.0,8.0,17.0,19.0,35.0,8.0,1010.6,1006.8,25.9,39.6,0.0,0.0
6,2009-01-07,Woomera,19.7,33.3,0.0,8.0,57.0,8.0,8.0,24.0,26.0,61.0,20.0,1011.1,1010.4,22.3,31.2,0.0,0.0
7,2009-01-08,Woomera,15.2,31.4,0.0,10.0,56.0,9.0,10.0,35.0,24.0,45.0,14.0,1015.8,1014.2,18.4,28.3,0.0,0.0
8,2009-01-09,Woomera,15.8,33.3,0.0,10.0,41.0,2.0,11.0,28.0,9.0,28.0,11.0,1014.5,1011.3,21.5,30.9,0.0,0.0
9,2009-01-10,Woomera,17.5,33.9,0.0,12.0,43.0,10.0,12.0,15.0,9.0,38.0,11.0,1009.8,1007.3,22.1,32.5,0.0,0.0
10,2009-01-11,Woomera,18.1,33.3,0.0,10.0,44.0,8.0,11.0,24.0,7.0,42.0,15.0,1009.9,1008.2,21.9,31.7,0.0,0.0
11,2009-01-12,Woomera,17.4,38.4,0.0,10.0,43.0,2.0,3.0,28.0,11.0,33.0,8.0,1013.1,1010.6,23.7,35.6,0.0,0.0
12,2009-01-13,Woomera,22.0,42.2,0.0,3.0,48.0,5.0,13.0,24.0,15.0,9.0,4.0,1010.4,1008.1,31.8,40.5,0.0,0.0
13,2009-01-14,Woomera,23.6,40.7,0.0,10.0,50.0,8.0,13.0,28.0,17.0,43.0,13.0,1010.3,1008.9,25.8,38.4,0.0,0.0
14,2009-01-15,Woomera,19.0,31.5,0.0,10.0,52.0,10.0,10.0,35.0,31.0,58.0,21.0,1016.4,1015.2,20.3,29.7,0.0,0.0
15,2009-01-16,Woomera,15.7,32.7,0.0,10.0,52.0,10.0,2.0,28.0,24.0,51.0,12.0,1019.7,1018.0,18.7,30.5,0.0,0.0
16,2009-01-17,Woomera,16.6,33.5,0.0,10.0,44.0,9.0,8.0,31.0,17.0,31.0,8.0,1019.3,1016.3,21.2,31.4,0.0,0.0
17,2009-01-18,Woomera,18.5,35.6,0.0,9.0,31.0,1.0,13.0,20.0,7.0,12.0,8.0,1016.3,1013.0,25.8,34.0,0.0,0.0
18,2009-01-19,Woomera,20.5,39.6,0.0,15.0,37.0,7.0,15.0,9.0,7.0,11.0,6.0,1011.9,1008.3,29.1,38.0,0.0,0.0
19,2009-01-20,Woomera,23.4,40.2,0.0,7.0,50.0,6.0,13.0,26.0,13.0,26.0,10.0,1009.7,1007.0,29.5,39.2,0.0,0.0
20,2009-01-21,Woomera,21.1,37.1,0.0,10.0,54.0,10.0,12.0,19.0,15.0,59.0,23.0,1010.5,1006.6,24.0,34.1,0.0,0.0
21,2009-01-22,Woomera,21.7,38.8,0.0,15.0,74.0,8.0,11.0,6.0,24.0,12.0,7.0,1005.6,1004.1,28.3,36.9,0.0,0.0
22,2009-01-23,Woomera,19.0,37.4,0.0,13.0,61.0,5.0,13.0,4.0,20.0,58.0,12.0,1008.8,1005.0,21.8,35.7,0.0,0.0
23,2009-01-24,Woomera,19.4,33.0,0.0,11.0,48.0,10.0,12.0,17.0,11.0,60.0,25.0,1012.7,1012.1,21.7,30.0,0.0,0.0
24,2009-01-25,Woomera,18.4,37.9,0.0,9.0,39.0,9.0,4.0,19.0,6.0,38.0,12.0,1015.1,1013.4,23.8,35.8,0.0,0.0
25,2009-01-26,Woomera,21.0,39.9,0.0,1.0,44.0,2.0,0.0,24.0,28.0,22.0,4.0,1015.9,1012.5,27.4,38.6,0.0,0.0
26,2009-01-27,Woomera,24.1,43.8,0.0,5.0,46.0,0.0,5.0,19.0,6.0,9.0,7.0,1011.3,1008.4,32.8,42.2,0.0,0.0
27,2009-01-28,Woomera,28.9,44.6,0.0,5.0,54.0,3.0,3.0,22.0,24.0,23.0,16.0,1007.8,1005.6,35.6,42.6,0.0,0.0
28,2009-01-29,Woomera,28.5,42.3,0.0,5.0,57.0,6.0,6.0,22.0,15.0,20.0,12.0,1009.3,1007.1,35.1,41.0,0.0,0.0
29,2009-01-30,Woomera,28.7,42.4,0.0,4.0,57.0,5.0,4.0,13.0,17.0,21.0,9.0,1009.4,1006.8,34.6,40.3,0.0,0.0
30,2009-01-31,Woomera,26.5,41.9,0.0,4.0,54.0,0.0,5.0,13.0,28.0,19.0,8.0,1011.5,1008.6,31.5,40.1,0.0,0.0
31,2009-02-01,Woomera,26.7,41.7,0.0,1.0,56.0,1.0,0.0,11.0,17.0,18.0,10.0,1011.6,1008.8,33.4,39.5,0.0,0.0
32,2009-02-02,Woomera,26.8,43.5,0.0,9.0,52.0,9.0,1.0,9.0,6.0,25.0,10.0,1009.5,1006.4,33.0,41.5,0.0,0.0
33,2009-02-03,Woomera,26.7,43.7,0.0,9.0,44.0,9.0,12.0,24.0,7.0,37.0,12.0,1008.2,1005.0,30.1,41.4,0.0,0.0
34,2009-02-04,Woomera,26.3,42.5,0.0,10.0,46.0,9.0,12.0,19.0,20.0,34.0,10.0,1006.8,1004.4,30.8,40.1,0.0,0.0
35,2009-02-05,Woomera,25.2,42.8,0.0,11.0,65.0,0.0,9.0,20.0,20.0,25.0,8.0,1007.0,1005.0,29.5,41.3,0.0,0.0
36,2009-02-06,Woomera,27.3,45.6,0.0,4.0,52.0,1.0,5.0,26.0,17.0,21.0,7.0,1005.3,1002.7,34.0,43.7,0.0,0.0
37,2009-02-07,Woomera,31.4,46.2,0.0,6.0,61.0,7.0,3.0,30.0,22.0,18.0,7.0,1004.4,1003.0,37.9,45.3,0.0,0.0
38,2009-02-08,Woomera,21.7,35.3,0.0,11.0,67.0,10.0,10.0,37.0,31.0,54.0,25.0,1009.8,1009.5,22.1,34.3,0.0,0.0
39,2009-02-09,Woomera,17.1,28.7,0.0,10.0,61.0,10.0,10.0,35.0,35.0,45.0,19.0,1014.4,1013.1,18.5,26.9,0.0,0.0
40,2009-02-10,Woomera,14.3,25.6,0.0,8.0,63.0,10.0,10.0,41.0,30.0,46.0,24.0,1017.9,1016.9,16.8,23.8,0.0,0.0
41,2009-02-11,Woomera,13.6,26.3,0.0,9.0,57.0,9.0,11.0,30.0,24.0,41.0,18.0,1020.8,1017.5,15.6,23.6,0.0,0.0
42,2009-02-12,Woomera,13.9,27.8,0.0,10.0,46.0,9.0,10.0,30.0,19.0,48.0,17.0,1019.3,1016.5,16.8,25.5,0.0,0.0
43,2009-02-13,Woomera,14.1,29.7,0.0,9.0,57.0,8.0,10.0,22.0,24.0,53.0,13.0,1018.4,1015.5,18.3,27.3,0.0,0.0
44,2009-02-14,Woomera,18.2,32.0,0.0,9.0,63.0,9.0,9.0,19.0,24.0,38.0,25.0,1017.9,1014.7,22.5,29.2,0.0,0.0
45,2009-02-15,Woomera,20.3,32.5,0.0,9.0,39.0,9.0,8.0,28.0,17.0,25.0,17.0,1016.1,1013.2,24.0,30.8,0.0,0.0
46,2009-02-16,Woomera,17.9,33.9,0.0,10.0,39.0,9.0,2.0,20.0,20.0,53.0,11.0,1013.4,1010.1,22.1,32.4,0.0,0.0
47,2009-02-17,Woomera,20.3,34.1,0.0,9.0,41.0,0.0,9.0,9.0,26.0,34.0,16.0,1011.2,1008.6,25.4,32.7,0.0,0.0
48,2009-02-18,Woomera,21.2,35.3,0.0,9.0,44.0,5.0,2.0,19.0,4.0,37.0,20.0,1009.8,1006.9,25.7,32.2,0.0,0.0
49,2009-02-19,Woomera,24.9,31.1,0.0,12.0,56.0,15.0,12.0,11.0,35.0,25.0,33.0,1009.5,1010.7,28.4,29.1,0.0,0.0
50,2009-02-20,Woomera,18.9,30.6,0.0,11.0,54.0,8.0,11.0,19.0,28.0,61.0,29.0,1015.9,1014.3,20.9,28.6,0.0,0.0
51,2009-02-21,Woomera,16.2,31.4,0.0,10.0,44.0,10.0,10.0,24.0,13.0,55.0,23.0,1017.3,1014.2,18.7,28.8,0.0,0.0
52,2009-02-22,Woomera,16.9,34.7,0.0,9.0,35.0,2.0,15.0,19.0,6.0,39.0,12.0,1014.5,1011.3,22.2,32.6,0.0,0.0
53,2009-02-23,Woomera,18.1,36.9,0.0,9.0,44.0,15.0,13.0,4.0,19.0,17.0,7.0,1012.3,1011.1,25.6,36.3,0.0,0.0
54,2009-02-24,Woomera,17.2,35.2,0.0,9.0,43.0,9.0,8.0,22.0,7.0,60.0,21.0,1015.3,1013.2,19.8,32.7,0.0,0.0
55,2009-02-25,Woomera,19.7,37.8,0.0,2.0,35.0,0.0,10.0,20.0,11.0,20.0,6.0,1014.2,1012.3,24.5,36.6,0.0,0.0
56,2009-02-26,Woomera,22.9,40.9,0.0,5.0,48.0,1.0,14.0,20.0,15.0,12.0,11.0,1013.1,1009.5,27.0,39.5,0.0,0.0
57,2009-02-27,Woomera,18.6,41.5,0.0,10.0,46.0,3.0,14.0,17.0,13.0,17.0,12.0,1011.3,1009.4,31.0,39.9,0.0,0.0
58,2009-02-28,Woomera,21.0,36.0,0.0,9.0,46.0,9.0,8.0,24.0,15.0,39.0,19.0,1011.9,1010.4,23.9,35.2,0.0,0.0
59,2009-03-01,Woomera,19.6,34.0,0.0,9.0,43.0,10.0,9.0,17.0,17.0,47.0,19.0,1012.4,1011.1,21.7,32.7,0.0,0.0
